Rows,Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],Rank your movie choices. You don't have to do a full ranking. [Seventh Choice],Rank your movie choices. You don't have to do a full ranking. [Eigth Choice],
2,4/30/2020 20:47:44,Angel's Egg,Port of Shadows,Planet of Snail,The Toxic Avenger,No Man's Land,,,
3,4/30/2020 21:19:26,Planet of Snail,Burning,The Toxic Avenger,Paprika,Angel's Egg,Port of Shadows,No Man's Land,
4,4/30/2020 21:23:29,Planet of Snail,Paprika,No Man's Land,Angel's Egg,Burning,The Toxic Avenger,Port of Shadows,The Lion in Winter
5,4/30/2020 22:11:40,Burning,Paprika,The Toxic Avenger,The Lion in Winter,No Man's Land,Angel's Egg,Port of Shadows,Planet of Snail
6,4/30/2020 22:25:22,Paprika,Angel's Egg,No Man's Land,Port of Shadows,The Toxic Avenger,The Lion in Winter,Planet of Snail,Burning
7,4/30/2020 22:32:37,Angel's Egg,Burning,Planet of Snail,The Toxic Avenger,Port of Shadows,The Lion in Winter,Paprika,No Man's Land
8,4/30/2020 23:31:55,Angel's Egg,The Toxic Avenger,Port of Shadows,No Man's Land,Paprika,Burning,Planet of Snail,The Lion in Winter
9,5/1/2020 0:46:03,No Man's Land,Burning,The Toxic Avenger,Planet of Snail,Angel's Egg,Paprika,Port of Shadows,
10,5/1/2020 5:07:46,No Man's Land,Port of Shadows,Burning,The Toxic Avenger,Paprika,The Lion in Winter,Angel's Egg,Planet of Snail
11,5/1/2020 8:27:03,No Man's Land,Paprika,Angel's Egg,The Toxic Avenger,The Lion in Winter,Burning,,
