Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],Rank your movie choices. You don't have to do a full ranking. [Seventh Choice],Rank your movie choices. You don't have to do a full ranking. [Eighth Choice],Rank your movie choices. You don't have to do a full ranking. [Nineth Choice],Rank your movie choices. You don't have to do a full ranking. [Tenth Choice]
5/27/2020 22:35:03,Your Name,Throne of Blood,Outside the Law,The Public Enemy,Marjoe,The Devil's Backbone,City Lights,Shallow Grave,Seventh Seal,The Lion In Winter
5/27/2020 22:40:22,The Devil's Backbone,Marjoe,Shallow Grave,Throne of Blood,Seventh Seal,The Public Enemy,Outside the Law,The Lion In Winter,City Lights,Your Name
5/27/2020 22:41:31,Throne of Blood,The Lion In Winter,Marjoe,The Public Enemy,The Devil's Backbone,Your Name,Shallow Grave,Outside the Law,,
5/28/2020 1:28:01,Throne of Blood,Your Name,Seventh Seal,The Public Enemy,Shallow Grave,The Lion In Winter,Outside the Law,Marjoe,The Devil's Backbone,City Lights
5/28/2020 5:41:08,Your Name,The Devil's Backbone,,,,,,,,
5/28/2020 6:32:14,Outside the Law,The Devil's Backbone,Your Name,Marjoe,Throne of Blood,The Lion In Winter,The Public Enemy,Seventh Seal,City Lights,Shallow Grave
5/28/2020 7:01:34,The Devil's Backbone,Your Name,Seventh Seal,Throne of Blood,,,,,,
5/28/2020 7:42:49,Outside the Law,Throne of Blood,Marjoe,The Devil's Backbone,The Lion In Winter,Seventh Seal,,,,
5/28/2020 8:41:33,Marjoe,Shallow Grave,City Lights,The Lion In Winter,,,,,,
5/28/2020 8:53:02,The Lion In Winter,The Devil's Backbone,Marjoe,Your Name,Throne of Blood,Outside the Law,,,,
5/28/2020 8:53:21,Marjoe,The Lion In Winter,Throne of Blood,The Public Enemy,Your Name,,,,,
