Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],Rank your movie choices. You don't have to do a full ranking. [Seventh Choice],Rank your movie choices. You don't have to do a full ranking. [Eighth Choice],Rank your movie choices. You don't have to do a full ranking. [Nineth Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice]
6/3/2020 19:32:51,Caché,La Haine,Ivan's Childhood,Hearts of Darkness: A Filmmaker's Apocalypse,The Lion In Winter,Crash,Your Name,Outside the Law,,No Theme/Free-for-all,Erotic Thriller,Filmmaker's First Feature,Martial Arts/Samurai,War
6/3/2020 19:40:37,Outside the Law,La Haine,Your Name,Hearts of Darkness: A Filmmaker's Apocalypse,Come and See,Caché,Ivan's Childhood,Crash,The Lion In Winter,Erotic Thriller,Martial Arts/Samurai,Filmmaker's First Feature,War,No Theme/Free-for-all
6/3/2020 19:50:36,Hearts of Darkness: A Filmmaker's Apocalypse,Your Name,La Haine,Ivan's Childhood,Come and See,Outside the Law,Caché,Crash,The Lion In Winter,Filmmaker's First Feature,Martial Arts/Samurai,War,No Theme/Free-for-all,Erotic Thriller
6/3/2020 20:29:44,Crash,Come and See,La Haine,The Lion In Winter,Ivan's Childhood,Outside the Law,Caché,Hearts of Darkness: A Filmmaker's Apocalypse,Your Name,Erotic Thriller,Filmmaker's First Feature,Martial Arts/Samurai,War,No Theme/Free-for-all
6/3/2020 22:25:38,Come and See,The Lion In Winter,Your Name,Hearts of Darkness: A Filmmaker's Apocalypse,Ivan's Childhood,Caché,Crash,La Haine,Outside the Law,Martial Arts/Samurai,War,Filmmaker's First Feature,Erotic Thriller,No Theme/Free-for-all
6/4/2020 7:55:47,Hearts of Darkness: A Filmmaker's Apocalypse,Your Name,Outside the Law,La Haine,Come and See,The Lion In Winter,Ivan's Childhood,Caché,Crash,Filmmaker's First Feature,War,Martial Arts/Samurai,No Theme/Free-for-all,Erotic Thriller
6/4/2020 9:29:10,Outside the Law,Hearts of Darkness: A Filmmaker's Apocalypse,La Haine,The Lion In Winter,,,,,,Martial Arts/Samurai,Filmmaker's First Feature,War,Erotic Thriller,No Theme/Free-for-all
6/4/2020 10:29:04,Hearts of Darkness: A Filmmaker's Apocalypse,The Lion In Winter,Crash,Your Name,Outside the Law,,,,,No Theme/Free-for-all,Erotic Thriller,Filmmaker's First Feature,,
6/4/2020 11:51:10,Come and See,The Lion In Winter,Your Name,Outside the Law,La Haine,Ivan's Childhood,Hearts of Darkness: A Filmmaker's Apocalypse,Crash,Caché,Martial Arts/Samurai,War,Filmmaker's First Feature,Erotic Thriller,No Theme/Free-for-all
6/4/2020 15:45:40,Caché,Hearts of Darkness: A Filmmaker's Apocalypse,The Lion In Winter,La Haine,Outside the Law,Ivan's Childhood,Crash,Come and See,Your Name,War,Filmmaker's First Feature,Erotic Thriller,No Theme/Free-for-all,Martial Arts/Samurai
6/4/2020 15:51:05,La Haine,Your Name,Caché,Come and See,Ivan's Childhood,Hearts of Darkness: A Filmmaker's Apocalypse,,,,Erotic Thriller,Filmmaker's First Feature,No Theme/Free-for-all,Martial Arts/Samurai,War
6/5/2020 22:32:17,Come and See,Crash,Hearts of Darkness: A Filmmaker's Apocalypse,Ivan's Childhood,Caché,Your Name,The Lion In Winter,La Haine,Outside the Law,No Theme/Free-for-all,Erotic Thriller,War,Martial Arts/Samurai,Filmmaker's First Feature
