Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],Rank your movie choices. You don't have to do a full ranking. [Seventh Choice],Rank your movie choices. You don't have to do a full ranking. [Eighth Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice],What theme should we explore next week? [Sixth Choice],What theme should we explore next week? [Seventh Choice],What theme should we explore next week? [Eighth Choice],What theme should we explore next week? [Nineth Choice]
7/1/2020 17:01:52,River's Edge,Heathers,Girlhood,Eighteen,Water Lilies,Spring Breakers,Ten Things I Hate About You,Cruel Intentions,International Gangsters,Director’s first film,Previously Nominated Film,Muscle men!!!,Extremely Loud & Incredibly Gay,Cult Classics,No Theme/Free-for-all,Classic stories retold,Budget under $1 million
7/1/2020 17:07:10,Ten Things I Hate About You,Eighteen,Cruel Intentions,Heathers,Water Lilies,,,,Extremely Loud & Incredibly Gay,Muscle men!!!,International Gangsters,,,,,,
7/1/2020 17:19:44,Girlhood,Water Lilies,River's Edge,Eighteen,Cruel Intentions,,,,No Theme/Free-for-all,International Gangsters,Muscle men!!!,Previously Nominated Film,Cult Classics,Director’s first film,Extremely Loud & Incredibly Gay,Budget under $1 million,Classic stories retold
7/1/2020 17:22:43,River's Edge,Cruel Intentions,Water Lilies,Girlhood,Eighteen,Heathers,Spring Breakers,Ten Things I Hate About You,Cult Classics,Muscle men!!!,International Gangsters,Extremely Loud & Incredibly Gay,Director’s first film,Budget under $1 million,Previously Nominated Film,Classic stories retold,No Theme/Free-for-all
7/1/2020 17:25:58,Spring Breakers,Cruel Intentions,,,,,,,Muscle men!!!,Cult Classics,Budget under $1 million,No Theme/Free-for-all,,,,,
7/1/2020 17:29:55,Girlhood,Water Lilies,Eighteen,Cruel Intentions,,,,,Extremely Loud & Incredibly Gay,Previously Nominated Film,Director’s first film,Cult Classics,Classic stories retold,,,,
7/1/2020 17:40:26,Heathers,Cruel Intentions,Girlhood,River's Edge,Spring Breakers,Ten Things I Hate About You,,,Budget under $1 million,Director’s first film,Previously Nominated Film,Classic stories retold,Cult Classics,International Gangsters,Muscle men!!!,Extremely Loud & Incredibly Gay,
7/1/2020 17:47:25,Girlhood,Cruel Intentions,Heathers,Ten Things I Hate About You,River's Edge,Spring Breakers,Water Lilies,Eighteen,Extremely Loud & Incredibly Gay,Previously Nominated Film,Cult Classics,Director’s first film,Classic stories retold,Budget under $1 million,Muscle men!!!,International Gangsters,No Theme/Free-for-all
7/1/2020 19:03:24,Cruel Intentions,Ten Things I Hate About You,Heathers,Girlhood,,,,,Classic stories retold,,,,,,,,
7/1/2020 23:28:26,Heathers,River's Edge,Girlhood,Cruel Intentions,Eighteen,Ten Things I Hate About You,Water Lilies,Spring Breakers,Previously Nominated Film,Muscle men!!!,Extremely Loud & Incredibly Gay,International Gangsters,Director’s first film,Cult Classics,Classic stories retold,Budget under $1 million,No Theme/Free-for-all
