Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice],What theme should we explore next week? [Sixth Choice],What theme should we explore next week? [Seventh Choice]
7/9/2020 21:31:14,But I'm a Cheerleader!,Happy Together,"The Adventures of Priscilla, Queen of the Desert",Hairspray,The Living End,"To Wong Foo, Thanks for Everything! Julie Newmar",LOTS OF SLIME,No Theme/Free-for-all,LADIES NIGHT,THIS SOUNDTRACK BANGS,"TECHNICALLY, FOR CHILDREN",TOXIC MASCULINITY A GO-GO!,ENNIO MORRICONE REST IN PEACE
7/9/2020 21:32:30,But I'm a Cheerleader!,"To Wong Foo, Thanks for Everything! Julie Newmar",Happy Together,The Living End,"The Adventures of Priscilla, Queen of the Desert",Hairspray,LOTS OF SLIME,THIS SOUNDTRACK BANGS,"TECHNICALLY, FOR CHILDREN",ENNIO MORRICONE REST IN PEACE,TOXIC MASCULINITY A GO-GO!,LADIES NIGHT,No Theme/Free-for-all
7/9/2020 21:47:29,Happy Together,The Living End,Hairspray,But I'm a Cheerleader!,"The Adventures of Priscilla, Queen of the Desert","To Wong Foo, Thanks for Everything! Julie Newmar",No Theme/Free-for-all,LADIES NIGHT,"TECHNICALLY, FOR CHILDREN",THIS SOUNDTRACK BANGS,ENNIO MORRICONE REST IN PEACE,LOTS OF SLIME,TOXIC MASCULINITY A GO-GO!
7/9/2020 21:52:29,But I'm a Cheerleader!,"The Adventures of Priscilla, Queen of the Desert",Hairspray,"To Wong Foo, Thanks for Everything! Julie Newmar",Happy Together,The Living End,"TECHNICALLY, FOR CHILDREN",LADIES NIGHT,No Theme/Free-for-all,,,,
7/9/2020 22:01:00,The Living End,But I'm a Cheerleader!,"The Adventures of Priscilla, Queen of the Desert",Hairspray,Happy Together,"To Wong Foo, Thanks for Everything! Julie Newmar",TOXIC MASCULINITY A GO-GO!,LADIES NIGHT,THIS SOUNDTRACK BANGS,LOTS OF SLIME,"TECHNICALLY, FOR CHILDREN",ENNIO MORRICONE REST IN PEACE,No Theme/Free-for-all
7/9/2020 22:05:06,"The Adventures of Priscilla, Queen of the Desert","To Wong Foo, Thanks for Everything! Julie Newmar",Happy Together,The Living End,But I'm a Cheerleader!,Hairspray,"TECHNICALLY, FOR CHILDREN",LADIES NIGHT,LOTS OF SLIME,THIS SOUNDTRACK BANGS,,,
7/9/2020 22:33:30,Happy Together,"To Wong Foo, Thanks for Everything! Julie Newmar","The Adventures of Priscilla, Queen of the Desert",But I'm a Cheerleader!,The Living End,Hairspray,THIS SOUNDTRACK BANGS,ENNIO MORRICONE REST IN PEACE,TOXIC MASCULINITY A GO-GO!,"TECHNICALLY, FOR CHILDREN",LADIES NIGHT,LOTS OF SLIME,No Theme/Free-for-all
7/10/2020 14:27:51,"The Adventures of Priscilla, Queen of the Desert","To Wong Foo, Thanks for Everything! Julie Newmar",But I'm a Cheerleader!,The Living End,Happy Together,Hairspray,ENNIO MORRICONE REST IN PEACE,LOTS OF SLIME,LADIES NIGHT,TOXIC MASCULINITY A GO-GO!,THIS SOUNDTRACK BANGS,"TECHNICALLY, FOR CHILDREN",No Theme/Free-for-all
7/10/2020 16:08:37,The Living End,But I'm a Cheerleader!,"The Adventures of Priscilla, Queen of the Desert",Hairspray,"To Wong Foo, Thanks for Everything! Julie Newmar",Happy Together,ENNIO MORRICONE REST IN PEACE,TOXIC MASCULINITY A GO-GO!,LOTS OF SLIME,"TECHNICALLY, FOR CHILDREN",LADIES NIGHT,THIS SOUNDTRACK BANGS,
7/10/2020 17:13:08,The Living End,But I'm a Cheerleader!,Hairspray,"The Adventures of Priscilla, Queen of the Desert","To Wong Foo, Thanks for Everything! Julie Newmar",Happy Together,"TECHNICALLY, FOR CHILDREN",ENNIO MORRICONE REST IN PEACE,LADIES NIGHT,THIS SOUNDTRACK BANGS,TOXIC MASCULINITY A GO-GO!,LOTS OF SLIME,No Theme/Free-for-all
