Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],Rank your movie choices. You don't have to do a full ranking. [Seventh Choice],Rank your movie choices. You don't have to do a full ranking. [Eigth Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice],What theme should we explore next week? [Sixth Choice],What theme should we explore next week? [Seventh Choice],What theme should we explore next week? [Eight Choice]
7/30/2020 9:25:23,The Vast of Night,Species,The Untamed,The Cabbage Soup,Quatermass and the Pit,Earth Girls Are Easy,Aliens,Independence Day,NON-ITALIAN GANGSTERS,AIRCRAFT: FRIEND OR FOE?,"OOPS, ALL BUMMER!",PRISONERS OF WAR,BEEF,FILMMAKER DOCUMENTARIES,DID WE ALREADY DO FILM NOIR?,No Theme/Free-for-all
7/30/2020 9:30:19,Earth Girls Are Easy,The Cabbage Soup,The Untamed,Independence Day,Aliens,Quatermass and the Pit,Species,The Vast of Night,"OOPS, ALL BUMMER!",DID WE ALREADY DO FILM NOIR?,BEEF,FILMMAKER DOCUMENTARIES,NON-ITALIAN GANGSTERS,PRISONERS OF WAR,AIRCRAFT: FRIEND OR FOE?,
7/30/2020 9:31:26,The Untamed,Earth Girls Are Easy,Quatermass and the Pit,Species,The Vast of Night,The Cabbage Soup,Aliens,Independence Day,AIRCRAFT: FRIEND OR FOE?,FILMMAKER DOCUMENTARIES,"OOPS, ALL BUMMER!",PRISONERS OF WAR,DID WE ALREADY DO FILM NOIR?,BEEF,NON-ITALIAN GANGSTERS,No Theme/Free-for-all
7/30/2020 9:37:16,Quatermass and the Pit,The Vast of Night,The Untamed,Earth Girls Are Easy,The Cabbage Soup,,,,"OOPS, ALL BUMMER!",PRISONERS OF WAR,No Theme/Free-for-all,NON-ITALIAN GANGSTERS,DID WE ALREADY DO FILM NOIR?,BEEF,AIRCRAFT: FRIEND OR FOE?,FILMMAKER DOCUMENTARIES
7/30/2020 10:16:37,The Vast of Night,Aliens,Quatermass and the Pit,Species,,,,,NON-ITALIAN GANGSTERS,BEEF,DID WE ALREADY DO FILM NOIR?,PRISONERS OF WAR,FILMMAKER DOCUMENTARIES,"OOPS, ALL BUMMER!",AIRCRAFT: FRIEND OR FOE?,No Theme/Free-for-all
7/30/2020 10:25:28,Earth Girls Are Easy,Independence Day,Aliens,The Cabbage Soup,The Vast of Night,Species,Quatermass and the Pit,The Untamed,AIRCRAFT: FRIEND OR FOE?,No Theme/Free-for-all,,,,,,
7/30/2020 10:26:49,The Vast of Night,Earth Girls Are Easy,Quatermass and the Pit,Aliens,The Cabbage Soup,Independence Day,Species,The Untamed,BEEF,AIRCRAFT: FRIEND OR FOE?,NON-ITALIAN GANGSTERS,DID WE ALREADY DO FILM NOIR?,FILMMAKER DOCUMENTARIES,"OOPS, ALL BUMMER!",PRISONERS OF WAR,No Theme/Free-for-all
7/30/2020 10:28:21,Earth Girls Are Easy,Aliens,Independence Day,The Untamed,The Cabbage Soup,,,,BEEF,AIRCRAFT: FRIEND OR FOE?,,,,,,
7/30/2020 11:38:05,Aliens,,,,,,,,DID WE ALREADY DO FILM NOIR?,NON-ITALIAN GANGSTERS,BEEF,AIRCRAFT: FRIEND OR FOE?,,,,
7/31/2020 14:19:47,Aliens,Earth Girls Are Easy,The Cabbage Soup,The Vast of Night,The Untamed,Species,Quatermass and the Pit,Independence Day,No Theme/Free-for-all,BEEF,DID WE ALREADY DO FILM NOIR?,NON-ITALIAN GANGSTERS,FILMMAKER DOCUMENTARIES,AIRCRAFT: FRIEND OR FOE?,"OOPS, ALL BUMMER!",PRISONERS OF WAR
