Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],Rank your movie choices. You don't have to do a full ranking. [Seventh Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice],What theme should we explore next week? [Sixth Choice],What theme should we explore next week? [Seventh Choice],What theme should we explore next week? [Eighth Choice]
9/1/2020 18:34:35,McCabe & Mrs. Miller,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",Belladonna of Sadness,The Terminal Man,,,,A GODDAMNED GHOST,LADY DIRECTOR,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",PERIOD PIECES,BIPOC WRITERS/POETS,JOHN LEGUIZAMO,PRUPPETS,No Theme/Free-for-all
9/1/2020 18:36:30,"Aguirre, the Wrath of God",McCabe & Mrs. Miller,Badlands,Belladonna of Sadness,Get Carter,The Terminal Man,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",JOHN LEGUIZAMO,BIPOC WRITERS/POETS,A GODDAMNED GHOST,LADY DIRECTOR,PERIOD PIECES,PRUPPETS,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",No Theme/Free-for-all
9/1/2020 18:40:52,Badlands,"Aguirre, the Wrath of God",Get Carter,The Terminal Man,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",McCabe & Mrs. Miller,Belladonna of Sadness,A GODDAMNED GHOST,BIPOC WRITERS/POETS,LADY DIRECTOR,JOHN LEGUIZAMO,PERIOD PIECES,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",PRUPPETS,No Theme/Free-for-all
9/1/2020 19:05:47,Badlands,Belladonna of Sadness,Get Carter,"Aguirre, the Wrath of God","Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",McCabe & Mrs. Miller,The Terminal Man,PRUPPETS,BIPOC WRITERS/POETS,A GODDAMNED GHOST,LADY DIRECTOR,JOHN LEGUIZAMO,PERIOD PIECES,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",No Theme/Free-for-all
9/1/2020 20:36:00,"Aguirre, the Wrath of God",Badlands,The Terminal Man,Get Carter,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",McCabe & Mrs. Miller,Belladonna of Sadness,PERIOD PIECES,A GODDAMNED GHOST,BIPOC WRITERS/POETS,LADY DIRECTOR,JOHN LEGUIZAMO,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",PRUPPETS,No Theme/Free-for-all
9/2/2020 13:37:14,Badlands,Get Carter,"Aguirre, the Wrath of God",The Terminal Man,McCabe & Mrs. Miller,Belladonna of Sadness,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",PRUPPETS,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",LADY DIRECTOR,PERIOD PIECES,BIPOC WRITERS/POETS,A GODDAMNED GHOST,JOHN LEGUIZAMO,No Theme/Free-for-all
9/2/2020 16:00:38,Get Carter,Badlands,The Terminal Man,"Aguirre, the Wrath of God",McCabe & Mrs. Miller,,,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",LADY DIRECTOR,PERIOD PIECES,BIPOC WRITERS/POETS,A GODDAMNED GHOST,PRUPPETS,JOHN LEGUIZAMO,
9/2/2020 16:04:46,Get Carter,Badlands,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles","Aguirre, the Wrath of God",McCabe & Mrs. Miller,The Terminal Man,Belladonna of Sadness,LADY DIRECTOR,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",BIPOC WRITERS/POETS,A GODDAMNED GHOST,PERIOD PIECES,PRUPPETS,JOHN LEGUIZAMO,No Theme/Free-for-all
9/2/2020 17:21:34,Belladonna of Sadness,"Aguirre, the Wrath of God",Badlands,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",McCabe & Mrs. Miller,Get Carter,The Terminal Man,BIPOC WRITERS/POETS,JOHN LEGUIZAMO,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",LADY DIRECTOR,PERIOD PIECES,PRUPPETS,A GODDAMNED GHOST,No Theme/Free-for-all
9/2/2020 19:28:21,"Jeanne Dielman, 23 Commerce Quay, 1080 Bruxelles",Get Carter,McCabe & Mrs. Miller,The Terminal Man,Belladonna of Sadness,"Aguirre, the Wrath of God",Badlands,LADY DIRECTOR,PERIOD PIECES,BIPOC WRITERS/POETS,A GODDAMNED GHOST,"POST-9/11, PRE-DEATH OF WHITNEY HOUSTON TYPE BEAT",PRUPPETS,JOHN LEGUIZAMO,
