Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice],What theme should we explore next week? [Sixth Choice]
11/10/2020 17:48:40,Face/Off (1997),Snake Eyes (1998),Wild at Heart (1990),Color Out of Space (2019),The Wicker Man (2006),"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",HIGHSCHOOL CRIME,[Default to Nicolas Cage],HERZOGPALOOZA,LESS FAMOUS THAN THEIR REMAKE,WHAT IS BEST IN LIFE?
11/10/2020 17:50:45,Face/Off (1997),The Wicker Man (2006),Snake Eyes (1998),Wild at Heart (1990),Color Out of Space (2019),HERZOGPALOOZA,[Default to Nicolas Cage],"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",HIGHSCHOOL CRIME,LESS FAMOUS THAN THEIR REMAKE,WHAT IS BEST IN LIFE?
11/10/2020 17:51:17,Face/Off (1997),The Wicker Man (2006),Snake Eyes (1998),Color Out of Space (2019),Wild at Heart (1990),HERZOGPALOOZA,[Default to Nicolas Cage],WHAT IS BEST IN LIFE?,LESS FAMOUS THAN THEIR REMAKE,HIGHSCHOOL CRIME,"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ"
11/10/2020 18:23:15,Face/Off (1997),The Wicker Man (2006),Wild at Heart (1990),Snake Eyes (1998),Color Out of Space (2019),LESS FAMOUS THAN THEIR REMAKE,HERZOGPALOOZA,HIGHSCHOOL CRIME,WHAT IS BEST IN LIFE?,[Default to Nicolas Cage],"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ"
11/10/2020 18:32:15,Snake Eyes (1998),Face/Off (1997),The Wicker Man (2006),Wild at Heart (1990),Color Out of Space (2019),WHAT IS BEST IN LIFE?,LESS FAMOUS THAN THEIR REMAKE,HIGHSCHOOL CRIME,"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",HERZOGPALOOZA,[Default to Nicolas Cage]
11/10/2020 18:40:24,Wild at Heart (1990),Snake Eyes (1998),Face/Off (1997),The Wicker Man (2006),Color Out of Space (2019),"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",HIGHSCHOOL CRIME,[Default to Nicolas Cage],HERZOGPALOOZA,LESS FAMOUS THAN THEIR REMAKE,WHAT IS BEST IN LIFE?
11/10/2020 18:50:39,Face/Off (1997),Snake Eyes (1998),Wild at Heart (1990),The Wicker Man (2006),Color Out of Space (2019),HIGHSCHOOL CRIME,LESS FAMOUS THAN THEIR REMAKE,"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",[Default to Nicolas Cage],HERZOGPALOOZA,WHAT IS BEST IN LIFE?
11/10/2020 18:54:47,Color Out of Space (2019),Wild at Heart (1990),Face/Off (1997),,,WHAT IS BEST IN LIFE?,HIGHSCHOOL CRIME,LESS FAMOUS THAN THEIR REMAKE,HERZOGPALOOZA,"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",[Default to Nicolas Cage]
11/10/2020 19:02:31,Face/Off (1997),Color Out of Space (2019),Wild at Heart (1990),The Wicker Man (2006),Snake Eyes (1998),HIGHSCHOOL CRIME,WHAT IS BEST IN LIFE?,LESS FAMOUS THAN THEIR REMAKE,HERZOGPALOOZA,"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",[Default to Nicolas Cage]
11/10/2020 21:00:14,Wild at Heart (1990),Color Out of Space (2019),Snake Eyes (1998),,,LESS FAMOUS THAN THEIR REMAKE,WHAT IS BEST IN LIFE?,HERZOGPALOOZA,"CLOWNS, CARNIVALS, AND FREAKSHOWS: THE SEEDY AND SINISTER SIDE OF SHOWBIZ",HIGHSCHOOL CRIME,[Default to Nicolas Cage]
